"BehaviorSpace results (NetLogo 6.3.0)"
"Social impact theory.nlogo"
"experiment"
"04/19/2023 15:52:21:143 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","max-h","probability-of-spin-up","[step]","magnetization"
"3","100","50","13","0.528344671201814"
"2","100","50","10","0.6235827664399093"
"3","100","50","14","0.5555555555555556"
"1","100","50","10","0.48299319727891155"
"4","100","50","9","0.3832199546485261"
"5","100","50","9","-0.08843537414965986"
"2","100","50","11","0.6281179138321995"
"3","100","50","15","0.5736961451247166"
"1","100","50","11","0.4965986394557823"
"4","100","50","10","0.3968253968253968"
"3","100","50","16","0.6099773242630385"
"2","100","50","12","0.6417233560090703"
"3","100","50","17","0.6190476190476191"
"5","100","50","10","-0.11564625850340136"
"3","100","50","18","0.6326530612244898"
"1","100","50","12","0.4965986394557823"
"2","100","50","13","0.6643990929705216"
"3","100","50","19","0.6507936507936508"
"4","100","50","11","0.42857142857142855"
"3","100","50","20","0.6780045351473923"
"5","100","50","11","-0.12471655328798185"
"2","100","50","14","0.691609977324263"
"3","100","50","21","0.691609977324263"
"1","100","50","13","0.5147392290249433"
"4","100","50","12","0.46485260770975056"
"3","100","50","22","0.7006802721088435"
"2","100","50","15","0.7142857142857143"
"3","100","50","23","0.6961451247165533"
"1","100","50","14","0.528344671201814"
"5","100","50","12","-0.1292517006802721"
"3","100","50","24","0.7006802721088435"
"4","100","50","13","0.49206349206349204"
"2","100","50","16","0.7369614512471655"
"3","100","50","25","0.7006802721088435"
"1","100","50","15","0.528344671201814"
"5","100","50","13","-0.1292517006802721"
"4","100","50","14","0.4965986394557823"
"3","100","50","26","0.7233560090702947"
"1","100","50","16","0.5238095238095238"
"3","100","50","27","0.746031746031746"
"2","100","50","17","0.7324263038548753"
"5","100","50","14","-0.11564625850340136"
"3","100","50","28","0.7732426303854876"
"2","100","50","18","0.7505668934240363"
"1","100","50","17","0.546485260770975"
"3","100","50","29","0.7732426303854876"
"5","100","50","15","-0.09297052154195011"
"2","100","50","19","0.7596371882086168"
"3","100","50","30","0.7687074829931972"
"4","100","50","15","0.5102040816326531"
"1","100","50","18","0.5600907029478458"
"2","100","50","20","0.7687074829931972"
"5","100","50","16","-0.08390022675736962"
"3","100","50","31","0.7913832199546486"
"3","100","50","32","0.7959183673469388"
"2","100","50","21","0.7732426303854876"
"1","100","50","19","0.5691609977324263"
"4","100","50","16","0.5192743764172335"
"3","100","50","33","0.800453514739229"
"2","100","50","22","0.782312925170068"
"3","100","50","34","0.8049886621315193"
"1","100","50","20","0.564625850340136"
