"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"
10.8627557984501	12.9258420539895	12.7977705227868	16.0655853203579	15.8858742597855	14.4285156710528	13.0783471605939	13.2172200254418	16.9733506539311	12.8779770598989	14.8216747740144	16.363712622036
14.6465116849596	15.057000645212	16.1886282776865	17.1306129399451	10.4748061816537	16.2091523123448	15.8341376500144	12.3435023497422	14.6853380598231	12.2301777626184	14.5514016339889	12.0236501504112
14.3223271137773	15.5253824224347	13.3929258964482	12.1291740224099	9.07499618146829	12.0646098120732	14.5354252357078	12.2428104598409	13.366132646775	10.9612256615095	15.3098236451838	13.5977104330952
14.3741413988863	15.8038090595104	12.9281799622867	15.3744749352818	15.6194158663777	16.7996784115823	15.8414779538925	14.023801192917	14.9677763857804	17.8177387934735	18.2281477039711	16.5524715984321
14.6703842760041	18.1504261387253	13.8832140262762	18.1897096337434	12.7554255448098	17.5346500888053	15.7354954322293	13.7903677618564	14.6733009168298	15.1397108504663	11.7878448273091	14.8373668877297
12.9921418955464	13.6112875294602	14.4808810700236	15.0007244616518	12.855385904958	15.5327066930051	12.8984200511176	15.1941611001213	16.3838460676445	14.0529065279437	17.0500333018852	14.6140917146498
14.6655668526262	18.2131848278071	9.71595165092119	14.737003783995	16.0046380370411	10.9402194765283	8.99725432347763	13.6182506361094	10.1810493947207	12.4943189902419	10.9602321502888	17.4770666903921
11.6880209410082	12.6948584036305	16.8823870836239	13.7074628255169	17.483378599569	14.4238555996161	16.470937592347	14.0293155746607	17.8323926436286	14.2748896283231	12.6472958275785	14.3802674626703
10.8608677064451	7.54264915096755	9.33649672138972	12.015647010132	14.6127707698505	14.7733243196211	13.3453095937413	12.3346985738627	12.5782860736112	12.6224325227627	14.4647035133732	16.0646338580231
11.6329790376005	13.1620096619323	18.1324254465603	11.3831414537336	12.0660277387373	14.5813914798287	11.7204123436476	15.4950228361152	14.4492775774102	15.8593572600545	14.4816568010548	12.2299279837723
14.896717474053	13.1942590501297	14.8414814504455	12.7758765375078	13.6539114442475	14.3808635311827	16.917189796861	12.8399865466996	18.0250761280794	17.2591727748724	16.8171012196049	14.7660042843862
15.8654304186793	14.454557355055	13.3247538842525	18.6589585670903	14.3341911312889	14.1766392726118	14.3883388875059	11.9747702023104	12.8260167031203	11.6491885534727	14.1394907330714	12.3126680662016
13.7053806543839	12.5925231884245	16.7947013543103	14.85476819155	17.9373950399849	15.6102214110904	15.6491055629441	16.7074209388695	14.0586375272674	13.0859483716546	15.1096328827604	16.3682172544648
15.8074802712557	16.022594763605	13.8921476626283	17.1551689065853	13.052467198945	16.0828085023319	15.4012612102942	15.3998394672242	17.7158262506066	16.5441972157562	14.6150746361108	19.8964754414944
16.8653630322099	14.9662600118536	16.3330527434399	13.2252673253074	14.3365601335668	13.4413957589319	15.9362016414743	12.1365007680946	13.9367421895692	11.4406133665975	10.014879585357	12.9967580637595
13.5089255758304	12.148203581259	14.0711254811651	13.9167103920426	11.9864369676371	13.2890177230739	14.2998639907464	12.9480152185071	9.63193052802234	11.0146165256278	12.063621967684	12.4908928399551
17.2982617203755	15.0938093872253	16.9607791083412	17.998512841699	14.8738516174507	12.3162104601812	16.0178258697473	16.835020878377	13.9603234177379	15.941095159135	14.751191513619	11.2363871161829
14.5385553005681	13.3119785300827	12.9641618135956	13.5467895852903	14.5027416315866	14.5664059148152	15.1813199031809	17.5581502377099	13.3293125025889	12.1825625339014	15.3206517124728	14.0277831133265
16.6420361383869	16.3179447170026	17.3736510036379	18.1390046419566	17.1739757503783	15.63555779521	13.5031397378969	14.0157022811079	12.4286010755446	14.9857422197538	14.3154922349154	15.5456504781749
12.4004125330431	11.7768818966482	16.0778210689374	12.9630755757242	14.7627831736612	13.0898738946733	10.9058920523958	13.1346852902117	16.1939597660332	14.4677701265063	14.9970467211542	16.7558959125727
15.2372223483785	12.3163056521696	11.2822908615765	11.9926880971031	15.7597325170313	11.8210700636213	14.1444324994217	15.4932007859091	13.250732871159	11.596744793176	9.8485495297941	11.6909253066292
12.9649116701985	13.202181178349	12.2811263329301	11.4387402422876	12.3346770944224	19.0823484384506	14.364471675281	16.7325772617382	14.6071989778172	15.2867396405403	14.3773416880063	13.6139192300365
12.4731979211609	15.6245726028419	12.283320642464	11.6511838859472	16.139873143388	15.8837964762498	11.2951035243414	16.1558700678087	13.6431657950693	17.489814940714	14.5530492452179	16.6556996093349
15.0494809483715	12.5037816669075	15.3166168704689	15.3612130468909	15.0393204119352	15.7039716309817	12.2992187187098	12.4030761788422	10.4930669742752	15.6599320594736	12.9057605464463	11.480409903111
17.316830783857	13.0594000332265	16.7179284238215	17.6839035711432	16.0289381530295	13.9763157875221	14.4878526713956	17.2867227108051	18.5463487199569	16.5386250987319	16.3821314691019	16.5884896085848
12.8846846760678	13.1700181505482	14.7794787398428	13.7098434408877	18.5862027786125	14.1262782860581	13.2626784474691	17.4199595956285	15.8767151390928	16.22302882915	14.1153146642111	16.4760777694978
11.501834160347	13.4041571727395	11.4010283145417	8.41770635136406	12.6926734368835	13.1836045083833	12.574734229669	13.6165700104657	13.0065963761585	15.0018777308783	13.5697493411066	13.7413436137393
16.5844240785761	13.555582207566	18.646787590344	11.766158955908	15.4540775310358	13.282403522691	13.6830770207009	14.8987311095746	12.5158334350035	15.6062025961459	14.4405429489507	13.1169897701594
